IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.10.100,2087,2087,true,SIN,Asia Pacific,Singapore,67,4.58
47.236.232.148,2053,2053,true,SIN,Asia Pacific,Singapore,60,4.58
47.243.169.63,2096,2096,true,HKG,Asia Pacific,Hong Kong,83,4.57
8.210.119.11,2087,2087,true,HKG,Asia Pacific,Hong Kong,88,4.57
8.219.132.64,2087,2087,true,SIN,Asia Pacific,Singapore,63,4.57
8.222.165.117,2053,2053,true,SIN,Asia Pacific,Singapore,44,4.57
8.218.74.119,2087,2087,true,HKG,Asia Pacific,Hong Kong,45,4.56
8.218.126.53,2083,2083,true,HKG,Asia Pacific,Hong Kong,45,4.56
47.236.158.158,2096,2096,true,SIN,Asia Pacific,Singapore,149,4.56
47.243.91.58,8443,8443,true,HKG,Asia Pacific,Hong Kong,74,4.55
8.210.48.107,2053,2053,true,HKG,Asia Pacific,Hong Kong,56,4.55
47.243.27.217,2096,2096,true,HKG,Asia Pacific,Hong Kong,96,4.55
47.243.74.220,2083,2083,true,HKG,Asia Pacific,Hong Kong,63,4.53
47.236.166.131,2087,2087,true,SIN,Asia Pacific,Singapore,126,4.53
8.219.194.170,2096,2096,true,SIN,Asia Pacific,Singapore,77,4.53
8.218.146.204,2096,2096,true,HKG,Asia Pacific,Hong Kong,87,4.51
47.236.118.216,2096,2096,true,SIN,Asia Pacific,Singapore,114,4.50
47.237.95.140,2083,2083,true,SIN,Asia Pacific,Singapore,124,4.49
47.236.253.41,2083,2083,true,SIN,Asia Pacific,Singapore,98,4.49
47.236.253.41,2053,2053,true,SIN,Asia Pacific,Singapore,81,4.49
47.243.206.150,2083,2083,true,HKG,Asia Pacific,Hong Kong,62,4.49
8.217.250.222,2087,2087,true,HKG,Asia Pacific,Hong Kong,77,4.48
47.236.165.25,2087,2087,true,SIN,Asia Pacific,Singapore,100,4.48
47.236.253.41,8443,8443,true,SIN,Asia Pacific,Singapore,84,4.47
8.219.66.156,2083,2083,true,NRT,Asia Pacific,Tokyo,168,4.47
47.243.183.127,2053,2053,true,HKG,Asia Pacific,Hong Kong,90,4.47
47.236.93.176,2053,2053,true,SIN,Asia Pacific,Singapore,97,4.47
47.236.97.90,8443,8443,true,SIN,Asia Pacific,Singapore,64,4.47
8.222.184.198,2083,2083,true,SIN,Asia Pacific,Singapore,85,4.46
47.243.107.148,2087,2087,true,HKG,Asia Pacific,Hong Kong,40,4.45
8.210.66.190,2053,2053,true,HKG,Asia Pacific,Hong Kong,103,4.45
47.243.91.58,2087,2087,true,HKG,Asia Pacific,Hong Kong,89,4.43
8.219.132.64,2087,2087,true,SIN,Asia Pacific,Singapore,48,4.42
47.245.118.70,2083,2083,true,SIN,Asia Pacific,Singapore,80,4.42
47.236.93.176,2087,2087,true,SIN,Asia Pacific,Singapore,60,4.41
47.236.130.95,2053,2053,true,SIN,Asia Pacific,Singapore,71,4.41
47.245.86.230,8443,8443,true,SIN,Asia Pacific,Singapore,46,4.41
8.218.85.128,2096,2096,true,HKG,Asia Pacific,Hong Kong,38,4.39
8.218.85.128,2053,2053,true,HKG,Asia Pacific,Hong Kong,62,4.39
8.219.199.220,2053,2053,true,SIN,Asia Pacific,Singapore,48,4.37
47.242.174.27,2087,2087,true,HKG,Asia Pacific,Hong Kong,72,4.37
47.243.5.154,2096,2096,true,HKG,Asia Pacific,Hong Kong,41,4.36
8.219.50.180,2087,2087,true,SIN,Asia Pacific,Singapore,50,4.36
47.245.105.224,2087,2087,true,SIN,Asia Pacific,Singapore,86,4.35
47.245.105.224,2083,2083,true,SIN,Asia Pacific,Singapore,48,4.34
8.218.122.55,2053,2053,true,HKG,Asia Pacific,Hong Kong,101,4.33
47.245.114.163,2096,2096,true,SIN,Asia Pacific,Singapore,36,4.33
47.243.206.150,2096,2096,true,HKG,Asia Pacific,Hong Kong,55,4.32
47.236.145.85,2087,2087,true,SIN,Asia Pacific,Singapore,65,4.32
47.236.158.158,2083,2083,true,SIN,Asia Pacific,Singapore,115,4.32
47.236.165.25,2053,2053,true,SIN,Asia Pacific,Singapore,83,4.32
8.210.21.65,443,443,true,HKG,Asia Pacific,Hong Kong,56,4.30
47.242.79.71,2053,2053,true,HKG,Asia Pacific,Hong Kong,97,4.30
47.245.126.151,8443,8443,true,SIN,Asia Pacific,Singapore,71,4.28
8.219.114.201,2087,2087,true,SIN,Asia Pacific,Singapore,54,4.28
8.219.84.214,2083,2083,true,SIN,Asia Pacific,Singapore,67,4.27
47.236.164.215,2096,2096,true,SIN,Asia Pacific,Singapore,217,4.27
8.219.51.211,2053,2053,true,SIN,Asia Pacific,Singapore,61,4.26
47.242.17.250,2087,2087,true,HKG,Asia Pacific,Hong Kong,56,4.25
47.245.105.224,8443,8443,true,SIN,Asia Pacific,Singapore,33,4.25
47.236.117.48,2053,2053,true,SIN,Asia Pacific,Singapore,196,4.24
47.242.17.250,8443,8443,true,HKG,Asia Pacific,Hong Kong,69,4.24
47.243.86.79,2083,2083,true,HKG,Asia Pacific,Hong Kong,51,4.24
47.236.167.231,8443,8443,true,SIN,Asia Pacific,Singapore,121,4.24
47.245.84.124,2087,2087,true,SIN,Asia Pacific,Singapore,97,4.23
47.236.167.231,2053,2053,true,SIN,Asia Pacific,Singapore,38,4.23
8.219.174.142,2083,2083,true,SIN,Asia Pacific,Singapore,53,4.23
8.210.21.65,2087,2087,true,HKG,Asia Pacific,Hong Kong,90,4.22
8.218.146.204,443,443,true,HKG,Asia Pacific,Hong Kong,61,4.21
8.218.126.53,2087,2087,true,HKG,Asia Pacific,Hong Kong,65,4.19
47.245.118.70,2083,2083,true,SIN,Asia Pacific,Singapore,31,4.18
47.238.164.202,443,443,true,HKG,Asia Pacific,Hong Kong,49,4.18
47.245.33.33,443,443,true,NRT,Asia Pacific,Tokyo,116,4.17
8.218.85.128,2087,2087,true,HKG,Asia Pacific,Hong Kong,44,4.17
47.245.114.163,2096,2096,true,SIN,Asia Pacific,Singapore,21,4.17
8.218.126.53,2053,2053,true,HKG,Asia Pacific,Hong Kong,88,4.16
47.238.164.202,443,443,true,HKG,Asia Pacific,Hong Kong,43,4.16
8.219.49.65,2083,2083,true,SIN,Asia Pacific,Singapore,78,4.15
47.245.33.33,443,443,true,NRT,Asia Pacific,Tokyo,112,4.14
47.237.95.140,8443,8443,true,SIN,Asia Pacific,Singapore,93,4.12
47.245.102.52,2087,2087,true,SIN,Asia Pacific,Singapore,29,4.11
47.236.85.11,8443,443,true,SIN,Asia Pacific,Singapore,40,4.11
47.236.144.196,2087,2087,true,SIN,Asia Pacific,Singapore,41,4.09
47.236.180.51,2053,2053,true,SIN,Asia Pacific,Singapore,132,4.08
47.242.59.216,2096,2096,true,HKG,Asia Pacific,Hong Kong,67,4.08
47.243.107.148,8443,8443,true,HKG,Asia Pacific,Hong Kong,40,4.07
8.219.42.72,443,443,true,SIN,Asia Pacific,Singapore,56,4.07
47.242.59.216,8443,8443,true,HKG,Asia Pacific,Hong Kong,68,4.07
47.236.205.188,2053,2053,true,SIN,Asia Pacific,Singapore,124,4.06
8.219.111.147,2083,2083,true,SIN,Asia Pacific,Singapore,90,4.06
47.242.59.216,2083,2083,true,HKG,Asia Pacific,Hong Kong,54,4.06
47.245.118.70,2087,2087,true,SIN,Asia Pacific,Singapore,79,4.06
47.245.118.70,8443,8443,true,SIN,Asia Pacific,Singapore,82,4.06
8.219.6.150,2053,2053,true,SIN,Asia Pacific,Singapore,40,4.06
8.219.124.227,8443,8443,true,SIN,Asia Pacific,Singapore,66,4.04
47.236.17.193,2053,2053,true,SIN,Asia Pacific,Singapore,77,4.04
47.76.178.146,2087,2087,true,HKG,Asia Pacific,Hong Kong,51,4.04
47.236.85.11,8443,443,true,SIN,Asia Pacific,Singapore,50,4.02
8.217.145.40,2096,2096,true,HKG,Asia Pacific,Hong Kong,80,4.01
47.245.86.230,2087,2087,true,SIN,Asia Pacific,Singapore,92,4.01
8.218.65.237,2053,2053,true,HKG,Asia Pacific,Hong Kong,72,4.01
47.237.83.20,2083,2083,true,SIN,Asia Pacific,Singapore,141,4.01
8.219.209.14,8443,8443,true,SIN,Asia Pacific,Singapore,58,3.98
8.210.66.190,8443,8443,true,HKG,Asia Pacific,Hong Kong,93,3.98
47.237.95.13,8443,8443,true,SIN,Asia Pacific,Singapore,63,3.98
8.219.193.202,2087,2087,true,SIN,Asia Pacific,Singapore,78,3.98
47.236.130.95,2087,2087,true,SIN,Asia Pacific,Singapore,104,3.95
47.88.15.127,443,443,true,SJC,North America,San Jose,172,3.95
47.242.202.230,2053,2053,true,HKG,Asia Pacific,Hong Kong,74,3.94
47.242.79.71,2096,2096,true,HKG,Asia Pacific,Hong Kong,39,3.93
8.222.164.209,2096,2096,true,SIN,Asia Pacific,Singapore,93,3.93
8.222.136.247,2087,2087,true,SIN,Asia Pacific,Singapore,106,3.92
47.237.86.185,2053,2053,true,SIN,Asia Pacific,Singapore,58,3.90
8.222.183.242,2053,2053,true,SIN,Asia Pacific,Singapore,129,3.90
8.218.122.55,8443,8443,true,HKG,Asia Pacific,Hong Kong,76,3.89
47.243.139.85,2096,2096,true,HKG,Asia Pacific,Hong Kong,102,3.86
8.219.111.147,443,443,true,SIN,Asia Pacific,Singapore,91,3.86
8.219.126.240,2083,2083,true,SIN,Asia Pacific,Singapore,74,3.86
8.219.124.227,2083,2083,true,SIN,Asia Pacific,Singapore,116,3.86
47.236.146.249,8443,8443,true,SIN,Asia Pacific,Singapore,113,3.84
8.222.222.64,2053,2053,true,SIN,Asia Pacific,Singapore,82,3.83
47.243.27.217,2053,2053,true,HKG,Asia Pacific,Hong Kong,73,3.83
8.219.84.214,2053,2053,true,SIN,Asia Pacific,Singapore,85,3.82
8.219.1.92,2053,2053,true,SIN,Asia Pacific,Singapore,38,3.81
47.76.32.108,2083,2083,true,HKG,Asia Pacific,Hong Kong,77,3.80
8.217.90.154,443,443,true,HKG,Asia Pacific,Hong Kong,113,3.80
47.245.86.230,2053,2053,true,SIN,Asia Pacific,Singapore,17,3.80
47.76.178.146,2083,2083,true,HKG,Asia Pacific,Hong Kong,61,3.79
47.245.102.52,2083,2083,true,SIN,Asia Pacific,Singapore,39,3.79
47.245.102.52,2083,2083,true,SIN,Asia Pacific,Singapore,44,3.79
47.243.91.58,2053,2053,true,HKG,Asia Pacific,Hong Kong,57,3.78
8.210.100.23,2053,2053,true,HKG,Asia Pacific,Hong Kong,61,3.78
47.236.93.176,2096,2096,true,SIN,Asia Pacific,Singapore,88,3.78
8.219.0.162,8443,8443,true,SIN,Asia Pacific,Singapore,42,3.77
47.236.169.141,2083,2083,true,SIN,Asia Pacific,Singapore,121,3.76
8.210.65.1,2053,2053,true,HKG,Asia Pacific,Hong Kong,99,3.75
47.236.172.95,2096,2096,true,SIN,Asia Pacific,Singapore,104,3.75
47.236.144.208,2096,2096,true,SIN,Asia Pacific,Singapore,56,3.75
47.236.169.164,2087,2087,true,SIN,Asia Pacific,Singapore,138,3.75
47.237.84.173,8443,8443,true,SIN,Asia Pacific,Singapore,104,3.73
47.245.118.70,2096,2096,true,SIN,Asia Pacific,Singapore,61,3.72
8.222.174.108,2087,2087,true,SIN,Asia Pacific,Singapore,82,3.71
8.219.240.160,443,443,true,SIN,Asia Pacific,Singapore,86,3.71
47.238.235.163,443,443,true,HKG,Asia Pacific,Hong Kong,123,3.70
8.219.139.13,2053,2053,true,SIN,Asia Pacific,Singapore,59,3.69
47.245.84.124,2096,2096,true,SIN,Asia Pacific,Singapore,30,3.68
8.219.66.156,2053,2053,true,NRT,Asia Pacific,Tokyo,197,3.68
47.245.86.230,8443,8443,true,SIN,Asia Pacific,Singapore,59,3.66
47.245.102.52,2053,2053,true,SIN,Asia Pacific,Singapore,61,3.66
47.243.5.154,2087,2087,true,HKG,Asia Pacific,Hong Kong,67,3.66
8.222.162.45,2096,2096,true,SIN,Asia Pacific,Singapore,53,3.65
8.210.66.190,2096,2096,true,HKG,Asia Pacific,Hong Kong,90,3.64
47.243.206.150,2087,2087,true,HKG,Asia Pacific,Hong Kong,109,3.64
47.236.93.176,2083,2083,true,SIN,Asia Pacific,Singapore,32,3.63
8.219.5.10,2096,2096,true,SIN,Asia Pacific,Singapore,52,3.63
47.236.149.107,8443,8443,true,SIN,Asia Pacific,Singapore,82,3.63
47.243.27.217,2087,2087,true,HKG,Asia Pacific,Hong Kong,39,3.61
8.219.60.54,443,443,true,SIN,Asia Pacific,Singapore,80,3.61
47.236.9.152,8443,8443,true,SIN,Asia Pacific,Singapore,56,3.59
47.243.42.219,2083,2083,true,HKG,Asia Pacific,Hong Kong,61,3.58
8.210.55.134,2083,2083,true,HKG,Asia Pacific,Hong Kong,61,3.58
47.236.232.148,2096,2096,true,SIN,Asia Pacific,Singapore,83,3.57
8.210.55.134,2087,2087,true,HKG,Asia Pacific,Hong Kong,39,3.56
47.237.84.173,2087,2087,true,SIN,Asia Pacific,Singapore,104,3.56
47.243.5.154,2087,2087,true,HKG,Asia Pacific,Hong Kong,55,3.55
8.210.207.214,8443,8443,true,HKG,Asia Pacific,Hong Kong,53,3.55
47.236.144.208,2083,2083,true,SIN,Asia Pacific,Singapore,115,3.54
8.219.193.202,443,443,true,SIN,Asia Pacific,Singapore,117,3.54
47.243.91.58,2096,2096,true,HKG,Asia Pacific,Hong Kong,90,3.53
8.222.156.242,2096,2096,true,SIN,Asia Pacific,Singapore,37,3.52
47.242.171.94,8443,8443,true,HKG,Asia Pacific,Hong Kong,82,3.52
8.217.149.28,8443,8443,true,HKG,Asia Pacific,Hong Kong,45,3.52
47.236.165.25,2083,2083,true,SIN,Asia Pacific,Singapore,225,3.52
47.245.126.151,2096,2096,true,SIN,Asia Pacific,Singapore,57,3.51
8.222.181.117,2096,2096,true,SIN,Asia Pacific,Singapore,57,3.51
47.236.150.13,2053,2053,true,SIN,Asia Pacific,Singapore,117,3.51
47.245.126.151,2053,2053,true,SIN,Asia Pacific,Singapore,43,3.50
8.222.174.108,2096,2096,true,SIN,Asia Pacific,Singapore,68,3.49
47.236.118.216,2053,2053,true,SIN,Asia Pacific,Singapore,169,3.49
8.219.111.175,2087,2087,true,SIN,Asia Pacific,Singapore,86,3.49
47.245.84.124,8443,8443,true,SIN,Asia Pacific,Singapore,44,3.48
47.236.130.95,2053,2053,true,SIN,Asia Pacific,Singapore,155,3.48
8.219.126.240,2053,2053,true,SIN,Asia Pacific,Singapore,83,3.48
47.243.90.180,2053,2053,true,HKG,Asia Pacific,Hong Kong,39,3.48
47.237.100.206,2083,2083,true,SIN,Asia Pacific,Singapore,194,3.47
47.76.204.76,8443,8443,true,HKG,Asia Pacific,Hong Kong,53,3.47
47.236.130.95,8443,8443,true,SIN,Asia Pacific,Singapore,136,3.46
47.236.167.231,2083,2083,true,SIN,Asia Pacific,Singapore,133,3.45
47.237.95.156,8443,8443,true,SIN,Asia Pacific,Singapore,17,3.45
8.210.55.134,2087,2087,true,HKG,Asia Pacific,Hong Kong,78,3.44
47.242.174.27,8443,8443,true,HKG,Asia Pacific,Hong Kong,108,3.42
8.210.66.190,2053,2053,true,HKG,Asia Pacific,Hong Kong,73,3.42
8.210.146.108,2096,2096,true,HKG,Asia Pacific,Hong Kong,52,3.42
8.219.51.211,2083,2083,true,SIN,Asia Pacific,Singapore,79,3.39
8.210.34.188,2053,2053,true,HKG,Asia Pacific,Hong Kong,80,3.39
47.236.180.51,2083,2083,true,SIN,Asia Pacific,Singapore,146,3.39
47.237.8.82,2083,2083,true,SIN,Asia Pacific,Singapore,62,3.38
8.219.174.213,2087,2087,true,SIN,Asia Pacific,Singapore,130,3.38
8.218.201.73,2087,2087,true,HKG,Asia Pacific,Hong Kong,84,3.37
8.219.66.156,2096,2096,true,NRT,Asia Pacific,Tokyo,167,3.36
8.219.60.54,2083,2083,true,SIN,Asia Pacific,Singapore,16,3.36
47.245.84.124,2087,2087,true,SIN,Asia Pacific,Singapore,42,3.36
47.245.105.224,2096,2096,true,SIN,Asia Pacific,Singapore,83,3.35
47.242.202.230,8443,8443,true,HKG,Asia Pacific,Hong Kong,91,3.30
47.243.90.180,2083,2083,true,HKG,Asia Pacific,Hong Kong,59,3.30
8.222.222.64,2087,2087,true,SIN,Asia Pacific,Singapore,90,3.30
8.210.65.1,2087,2087,true,HKG,Asia Pacific,Hong Kong,75,3.25
8.210.146.108,2087,2087,true,HKG,Asia Pacific,Hong Kong,68,3.24
8.219.42.72,2096,2096,true,SIN,Asia Pacific,Singapore,50,3.21
8.218.126.53,8443,8443,true,HKG,Asia Pacific,Hong Kong,63,3.21
47.242.234.127,2053,2053,true,HKG,Asia Pacific,Hong Kong,81,3.21
8.219.103.65,2096,2096,true,SIN,Asia Pacific,Singapore,66,3.21
8.222.156.242,2087,2087,true,SIN,Asia Pacific,Singapore,109,3.20
47.243.107.148,2053,2053,true,HKG,Asia Pacific,Hong Kong,36,3.20
47.236.150.13,2087,2087,true,SIN,Asia Pacific,Singapore,146,3.19
47.245.126.151,8443,8443,true,SIN,Asia Pacific,Singapore,107,3.18
47.243.173.187,443,443,true,HKG,Asia Pacific,Hong Kong,87,3.17
47.238.245.170,443,443,true,HKG,Asia Pacific,Hong Kong,113,3.16
47.243.139.243,2087,2087,true,HKG,Asia Pacific,Hong Kong,112,3.15
47.245.105.224,2053,2053,true,SIN,Asia Pacific,Singapore,71,3.15
47.237.0.31,2053,2053,true,SIN,Asia Pacific,Singapore,82,3.15
47.236.123.133,8443,8443,true,SIN,Asia Pacific,Singapore,156,3.14
47.243.91.58,2083,2083,true,HKG,Asia Pacific,Hong Kong,74,3.14
47.243.90.180,2087,2087,true,HKG,Asia Pacific,Hong Kong,76,3.14
47.236.130.95,2087,2087,true,SIN,Asia Pacific,Singapore,130,3.11
47.236.123.133,2053,2053,true,SIN,Asia Pacific,Singapore,75,3.10
8.219.174.142,2087,2087,true,SIN,Asia Pacific,Singapore,130,3.10
8.210.107.246,2096,2096,true,HKG,Asia Pacific,Hong Kong,45,3.09
8.219.78.188,2096,2096,true,SIN,Asia Pacific,Singapore,75,3.08
47.236.123.133,2096,2096,true,SIN,Asia Pacific,Singapore,96,3.07
47.90.141.204,443,443,true,LAX,North America,Los Angeles,241,3.07
8.217.145.40,2083,2083,true,HKG,Asia Pacific,Hong Kong,110,3.06
47.236.9.152,2087,2087,true,SIN,Asia Pacific,Singapore,55,3.06
8.219.191.40,2053,2053,true,SIN,Asia Pacific,Singapore,82,3.05
47.245.126.151,2087,2087,true,SIN,Asia Pacific,Singapore,37,3.04
8.217.145.40,2087,2087,true,HKG,Asia Pacific,Hong Kong,97,3.02
47.243.67.28,2053,2053,true,HKG,Asia Pacific,Hong Kong,104,3.01
8.210.55.134,2053,2053,true,HKG,Asia Pacific,Hong Kong,115,3.01
47.237.14.220,8443,8443,true,SIN,Asia Pacific,Singapore,81,3.00
8.219.153.237,2053,2053,true,NRT,Asia Pacific,Tokyo,208,3.00
47.236.171.205,2087,2087,true,SIN,Asia Pacific,Singapore,120,2.99
8.210.55.134,8443,8443,true,HKG,Asia Pacific,Hong Kong,97,2.99
8.218.143.10,2096,2096,true,HKG,Asia Pacific,Hong Kong,38,2.99
8.219.104.37,8443,8443,true,SIN,Asia Pacific,Singapore,81,2.98
8.210.55.134,2083,2083,true,HKG,Asia Pacific,Hong Kong,92,2.98
47.243.27.217,8443,8443,true,HKG,Asia Pacific,Hong Kong,101,2.96
8.218.146.204,2053,2053,true,HKG,Asia Pacific,Hong Kong,86,2.96
8.210.39.96,2087,2087,true,HKG,Asia Pacific,Hong Kong,76,2.96
47.245.118.70,2053,2053,true,SIN,Asia Pacific,Singapore,41,2.95
8.217.159.210,2053,2053,true,HKG,Asia Pacific,Hong Kong,89,2.94
8.222.181.117,2053,2053,true,SIN,Asia Pacific,Singapore,15,2.93
47.245.86.230,443,443,true,SIN,Asia Pacific,Singapore,39,2.93
47.76.80.72,2053,2053,true,HKG,Asia Pacific,Hong Kong,62,2.93
8.210.156.6,2087,2087,true,HKG,Asia Pacific,Hong Kong,67,2.93
47.242.202.230,2096,2096,true,HKG,Asia Pacific,Hong Kong,69,2.93
8.210.65.1,8443,8443,true,HKG,Asia Pacific,Hong Kong,69,2.91
47.236.10.182,2083,2083,true,SIN,Asia Pacific,Singapore,64,2.91
47.242.176.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,63,2.91
8.218.48.92,2083,2083,true,HKG,Asia Pacific,Hong Kong,58,2.90
8.217.49.34,8443,8443,true,HKG,Asia Pacific,Hong Kong,102,2.90
8.217.221.165,8443,8443,true,HKG,Asia Pacific,Hong Kong,64,2.88
8.210.100.23,2083,2083,true,HKG,Asia Pacific,Hong Kong,91,2.87
8.219.87.30,2087,2087,true,SIN,Asia Pacific,Singapore,90,2.87
47.243.139.85,2083,2083,true,HKG,Asia Pacific,Hong Kong,123,2.85
47.236.205.188,2083,2083,true,SIN,Asia Pacific,Singapore,72,2.84
47.245.102.52,2096,2096,true,SIN,Asia Pacific,Singapore,67,2.84
47.238.40.58,2087,2087,true,HKG,Asia Pacific,Hong Kong,61,2.83
47.236.150.13,2096,2096,true,SIN,Asia Pacific,Singapore,103,2.82
8.210.146.108,8443,8443,true,HKG,Asia Pacific,Hong Kong,78,2.81
8.210.101.157,2053,2053,true,HKG,Asia Pacific,Hong Kong,103,2.81
47.245.102.52,8443,8443,true,SIN,Asia Pacific,Singapore,71,2.79
8.218.136.25,2087,2087,true,HKG,Asia Pacific,Hong Kong,87,2.78
47.243.203.119,2083,2083,true,HKG,Asia Pacific,Hong Kong,70,2.78
47.243.107.148,2083,2083,true,HKG,Asia Pacific,Hong Kong,66,2.77
8.210.156.6,2083,2083,true,HKG,Asia Pacific,Hong Kong,71,2.75
47.242.171.94,2096,2096,true,HKG,Asia Pacific,Hong Kong,72,2.75
47.245.126.151,2083,2083,true,SIN,Asia Pacific,Singapore,45,2.73
47.236.164.215,2087,2087,true,SIN,Asia Pacific,Singapore,83,2.72
8.217.149.28,2083,2083,true,HKG,Asia Pacific,Hong Kong,53,2.72
8.222.222.64,8443,8443,true,SIN,Asia Pacific,Singapore,74,2.71
8.210.146.108,2053,2053,true,HKG,Asia Pacific,Hong Kong,85,2.70
47.237.11.182,2096,2096,true,SIN,Asia Pacific,Singapore,62,2.70
47.245.102.52,2096,2096,true,SIN,Asia Pacific,Singapore,20,2.69
8.222.165.117,8443,8443,true,SIN,Asia Pacific,Singapore,113,2.69
47.236.170.54,2087,2087,true,SIN,Asia Pacific,Singapore,168,2.69
47.76.159.146,2053,2053,true,HKG,Asia Pacific,Hong Kong,48,2.69
8.222.174.108,2083,2083,true,SIN,Asia Pacific,Singapore,48,2.67
47.236.169.141,2053,2053,true,SIN,Asia Pacific,Singapore,14,2.67
47.243.91.58,2083,2083,true,HKG,Asia Pacific,Hong Kong,68,2.66
47.237.94.140,8443,8443,true,SIN,Asia Pacific,Singapore,52,2.63
8.222.164.209,8443,8443,true,SIN,Asia Pacific,Singapore,79,2.63
8.219.114.201,2096,2096,true,SIN,Asia Pacific,Singapore,60,2.63
8.210.34.188,8443,8443,true,HKG,Asia Pacific,Hong Kong,42,2.62
47.245.102.52,2087,2087,true,SIN,Asia Pacific,Singapore,79,2.61
8.222.175.6,443,443,true,SIN,Asia Pacific,Singapore,50,2.61
8.219.42.72,2087,2087,true,SIN,Asia Pacific,Singapore,60,2.59
8.217.91.121,2087,2087,true,HKG,Asia Pacific,Hong Kong,60,2.59
8.210.101.157,2083,2083,true,HKG,Asia Pacific,Hong Kong,88,2.59
47.76.178.146,2087,2087,true,HKG,Asia Pacific,Hong Kong,41,2.58
47.236.144.208,8443,8443,true,SIN,Asia Pacific,Singapore,122,2.57
8.219.0.162,2096,2096,true,SIN,Asia Pacific,Singapore,43,2.57
8.222.244.192,2087,2087,true,SIN,Asia Pacific,Singapore,53,2.57
8.210.65.1,2083,2083,true,HKG,Asia Pacific,Hong Kong,101,2.57
47.245.86.230,2053,2053,true,SIN,Asia Pacific,Singapore,42,2.53
8.217.221.165,2083,2083,true,HKG,Asia Pacific,Hong Kong,52,2.52
47.76.32.108,8443,8443,true,HKG,Asia Pacific,Hong Kong,53,2.48
47.91.65.26,443,443,true,FRA,Europe,Frankfurt,329,2.47
8.222.184.198,8443,8443,true,SIN,Asia Pacific,Singapore,79,2.47
8.219.153.237,8443,8443,true,NRT,Asia Pacific,Tokyo,179,2.47
47.236.145.85,2087,2087,true,SIN,Asia Pacific,Singapore,71,2.46
8.210.66.190,2083,2083,true,HKG,Asia Pacific,Hong Kong,84,2.45
8.218.155.238,2087,2087,true,HKG,Asia Pacific,Hong Kong,72,2.45
47.236.164.215,8443,8443,true,SIN,Asia Pacific,Singapore,101,2.43
8.219.84.214,2096,2096,true,SIN,Asia Pacific,Singapore,87,2.43
47.236.253.41,2096,2096,true,SIN,Asia Pacific,Singapore,61,2.42
47.242.54.157,2083,2083,true,HKG,Asia Pacific,Hong Kong,48,2.42
47.236.165.25,8443,8443,true,SIN,Asia Pacific,Singapore,80,2.42
47.243.27.217,2083,2083,true,HKG,Asia Pacific,Hong Kong,71,2.41
47.237.100.206,2053,2053,true,SIN,Asia Pacific,Singapore,43,2.41
47.236.144.156,2087,2087,true,SIN,Asia Pacific,Singapore,101,2.39
47.236.10.100,2053,2053,true,SIN,Asia Pacific,Singapore,97,2.39
8.219.66.156,8443,8443,true,NRT,Asia Pacific,Tokyo,173,2.38
47.236.170.54,2083,2083,true,SIN,Asia Pacific,Singapore,69,2.37
47.236.167.231,2087,2087,true,SIN,Asia Pacific,Singapore,89,2.36
47.76.94.15,2053,2053,true,HKG,Asia Pacific,Hong Kong,73,2.36
47.237.95.13,2053,2053,true,SIN,Asia Pacific,Singapore,147,2.36
8.210.156.6,443,443,true,HKG,Asia Pacific,Hong Kong,56,2.36
8.210.146.108,2083,2083,true,HKG,Asia Pacific,Hong Kong,74,2.35
47.236.170.54,2053,2053,true,SIN,Asia Pacific,Singapore,80,2.33
47.242.232.14,2083,2083,true,HKG,Asia Pacific,Hong Kong,68,2.31
8.222.164.209,2096,2096,true,SIN,Asia Pacific,Singapore,58,2.31
47.242.232.14,2053,2053,true,HKG,Asia Pacific,Hong Kong,76,2.31
8.210.156.6,2096,2096,true,HKG,Asia Pacific,Hong Kong,76,2.29
47.243.183.127,2083,2083,true,HKG,Asia Pacific,Hong Kong,49,2.28
47.236.130.95,2096,2096,true,SIN,Asia Pacific,Singapore,185,2.28
47.236.75.113,2083,2083,true,SIN,Asia Pacific,Singapore,70,2.27
8.210.107.246,8443,8443,true,HKG,Asia Pacific,Hong Kong,56,2.23
47.236.174.206,2096,2096,true,SIN,Asia Pacific,Singapore,150,2.23
8.210.156.6,8443,8443,true,HKG,Asia Pacific,Hong Kong,86,2.22
8.218.136.25,2096,2096,true,HKG,Asia Pacific,Hong Kong,102,2.22
47.238.40.58,2096,2096,true,HKG,Asia Pacific,Hong Kong,67,2.21
47.236.166.131,2053,2053,true,SIN,Asia Pacific,Singapore,137,2.20
47.76.204.76,2053,2053,true,HKG,Asia Pacific,Hong Kong,58,2.20
8.210.119.11,2083,2083,true,HKG,Asia Pacific,Hong Kong,95,2.20
47.238.6.102,2083,2083,true,HKG,Asia Pacific,Hong Kong,77,2.19
47.236.149.107,2053,2053,true,SIN,Asia Pacific,Singapore,166,2.17
8.217.159.210,2096,2096,true,HKG,Asia Pacific,Hong Kong,145,2.15
47.76.33.40,2083,2083,true,HKG,Asia Pacific,Hong Kong,55,2.14
8.210.65.1,2083,2083,true,HKG,Asia Pacific,Hong Kong,88,2.10
8.210.55.134,2053,2053,true,HKG,Asia Pacific,Hong Kong,65,2.10
8.217.147.230,2087,2087,true,HKG,Asia Pacific,Hong Kong,86,2.10
